LoanID,CustomerID,LoanAmount,InterestRate,Tenure,EMI,PaidEMIs,DefaultFlag
L101,101,500000,9.5,60,10500,25,0
L102,102,1200000,10.2,120,16000,80,0
L103,103,350000,11.5,48,9200,18,1
L104,104,800000,8.9,84,12700,45,0
L105,105,1500000,9.8,180,15800,95,0
L106,106,250000,12.0,36,8300,12,1
L107,107,950000,10.5,96,13800,62,0
L108,108,420000,13.5,60,9700,28,1
L109,109,1800000,8.2,240,15200,150,0
L110,110,600000,9.1,72,10900,50,0
L111,111,450000,11.0,60,9800,21,0
L112,112,2200000,8.7,300,17500,185,0
L113,113,750000,10.8,84,12600,48,1
L114,114,980000,9.4,120,13400,65,0
L115,115,400000,12.4,48,10400,19,1
L116,116,680000,9.6,84,11100,39,0
L117,117,2750000,8.5,360,21200,260,0
L118,118,510000,10.1,72,9800,30,0
L119,119,870000,11.6,96,13900,58,1
L120,120,320000,12.8,36,10700,15,1
L121,121,1250000,9.3,180,13400,96,0
L122,122,760000,10.4,84,12400,40,0
L123,123,980000,9.2,96,13300,72,0
L124,124,430000,11.9,60,9500,23,1
L125,125,1600000,8.8,180,16200,118,0
L126,126,560000,10.5,72,10800,33,0
L127,127,2100000,9.0,240,18100,170,0
L128,128,680000,11.1,84,12000,41,1
L129,129,300000,13.2,36,10100,10,1
L130,130,1450000,9.7,180,15000,105,0
L131,131,820000,10.0,96,12200,55,0
L132,132,260000,12.6,36,8600,8,1
L133,133,980000,8.9,120,12800,67,0
L134,134,1150000,9.5,180,11900,88,0
L135,135,620000,11.8,72,11900,29,1
L136,136,390000,12.9,48,10300,17,1
L137,137,1700000,8.6,240,14700,180,0
L138,138,920000,10.2,96,13500,61,0
L139,139,510000,11.5,60,11100,27,1
L140,140,780000,9.4,84,11800,44,0
L141,141,2600000,8.3,300,19800,230,0
L142,142,450000,12.1,60,10200,18,1
L143,143,680000,10.6,72,11700,37,0
L144,144,900000,9.7,96,12900,63,0
L145,145,1200000,8.8,120,13800,84,0
L146,146,550000,11.4,72,11200,26,1
L147,147,730000,10.3,84,12100,48,0
L148,148,410000,12.7,48,10600,12,1
L149,149,1900000,8.5,240,16000,175,0
L150,150,620000,9.9,72,10900,31,0
L151,151,350000,13.1,36,11200,7,1
L152,152,810000,9.2,96,12000,59,0
L153,153,1450000,8.9,180,14600,112,0
L154,154,970000,10.8,120,14200,68,0
L155,155,530000,11.9,60,11600,20,1
L156,156,2500000,8.4,300,19100,221,0
L157,157,460000,12.5,48,10800,14,1
L158,158,680000,10.1,84,11500,45,0
L159,159,880000,9.3,96,12700,56,0
L160,160,1300000,8.7,180,13900,98,0
L161,161,570000,11.6,72,11400,24,1
L162,162,980000,9.8,120,13100,75,0
L163,163,3500000,8.2,360,24500,280,0
L164,164,420000,12.3,48,10400,16,1
L165,165,720000,10.4,84,11900,43,0
L166,166,610000,9.6,72,11000,34,0
L167,167,1600000,8.9,180,14900,124,0
L168,168,810000,11.2,96,13400,49,1
L169,169,270000,13.0,36,9200,6,1
L170,170,980000,9.5,120,13000,69,0
L171,171,540000,10.7,72,10800,36,0
L172,172,2250000,8.6,300,17600,200,0
L173,173,480000,11.8,60,10900,19,1
L174,174,670000,9.9,84,11300,42,0
L175,175,1180000,9.1,180,12600,102,0
L176,176,790000,10.5,96,12600,53,0
L177,177,320000,12.8,36,10300,9,1
L178,178,920000,9.4,120,12300,77,0
L179,179,1450000,8.8,180,14400,118,0
L180,180,650000,11.0,72,11600,28,1
L181,181,850000,10.2,96,12400,57,0
L182,182,2700000,8.3,360,20600,245,0
L183,183,510000,12.2,60,11300,17,1
L184,184,730000,9.7,84,11400,46,0
L185,185,1350000,9.0,180,13800,111,0
L186,186,940000,10.6,120,13900,64,0
L187,187,420000,12.9,48,10500,13,1
L188,188,690000,9.8,84,11200,40,0
L189,189,1850000,8.7,240,15900,171,0
L190,190,610000,11.5,72,11800,22,1
L191,191,890000,9.3,96,12600,58,0
L192,192,1550000,8.9,180,15000,126,0
L193,193,470000,12.1,60,10800,20,1
L194,194,760000,10.0,84,11800,47,0
L195,195,980000,9.4,120,12900,73,0
L196,196,280000,13.3,36,9500,5,1
L197,197,2400000,8.5,300,18400,210,0
L198,198,590000,11.3,72,11600,25,1
L199,199,810000,9.6,96,12100,60,0
L200,200,1100000,8.8,180,13200,95,0
